gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse
Hsph1,GSM2545336,3818,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Serf2,GSM2545336,3264,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rasgef1a,GSM2545336,5400,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Prrg1,GSM2545336,373,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Etnppl,GSM2545336,9066,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cyp4f15,GSM2545336,288,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ankrd29,GSM2545336,989,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm27252,GSM2545336,156,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Kctd2,GSM2545336,4345,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Iigp1,GSM2545336,299,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ak4,GSM2545336,4031,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Idh2,GSM2545336,2188,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Camkk1,GSM2545336,3772,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rftn2,GSM2545336,1182,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Igtp,GSM2545336,372,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Bche,GSM2545336,338,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Marcks,GSM2545336,6007,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pabpc4,GSM2545336,747,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pmp22,GSM2545336,1404,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Car14,GSM2545336,1636,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Serpinh1,GSM2545336,753,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ppp1r13b,GSM2545336,3771,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tfrc,GSM2545336,10468,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Smox,GSM2545336,3239,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tjap1,GSM2545336,614,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Msmo1,GSM2545336,1666,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc26a8,GSM2545336,243,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Eml3,GSM2545336,1897,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Csf2ra,GSM2545336,354,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rnf141,GSM2545336,3030,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc25a16,GSM2545336,2086,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Echdc1,GSM2545336,1157,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Eid2b,GSM2545336,1163,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Piga,GSM2545336,428,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
